t r peak_id
0.478700 0.000000 1
1.098640 97.687000 2
0.651260 3.963000 3
0.659970 3.448000 4
1.067260 98.202000 5
1.144540 96.720000 6
0.581540 7.925000 7
0.713430 4.399000 8
1.013230 97.235000 9
0.720980 28.891000 10
0.815690 29.422000 11
0.762230 7.488000 12
0.497290 6.521000 13
0.536220 8.923000 14
0.449070 12.964000 15
0.598970 19.453000 16
0.452550 4.930000 17
0.489160 33.930000 18
0.927240 94.318000 19
0.573400 37.409000 20
0.690770 11.466000 21
0.651260 45.427000 22
0.599550 46.816000 23
0.607100 103.163000 24
0.489160 52.307000 25
0.692510 5.554000 26
0.599550 56.831000 27
0.682050 74.818000 28
0.489160 64.771000 29
0.489160 149.168000 30
0.489160 79.810000 31
0.578630 23.431000 32
0.548420 1.935000 33
0.856360 29.921000 34
0.598970 14.930000 35
0.497290 5.991000 36
0.535640 15.990000 37
0.535640 9.454000 38
0.598970 19.875000 39
0.598970 37.862000 40
0.927240 100.231000 41
0.446740 25.881000 42
0.446740 41.840000 43
0.446160 61.340000 44
0.446740 33.369000 45
0.607680 102.711000 46
0.689610 84.256000 47
0.597800 71.792000 48
0.612910 76.846000 49
0.692510 26.957000 50
0.446740 82.774000 51
0.659970 35.506000 52
0.492060 83.819000 53
0.490320 17.004000 54
0.492060 42.900000 55
0.496710 6.958000 56
0.478120 22.901000 57
0.492060 21.934000 58
0.585020 47.471000 59
0.478120 65.333000 60
0.447320 13.494000 61
0.573980 47.908000 62
0.446740 20.982000 63
0.478120 83.289000 64
0.446740 42.464000 65
0.446740 51.356000 66
0.600130 87.797000 67
0.611750 57.455000 68
0.446740 61.870000 69
0.851130 27.410000 70
0.740150 101.198000 71
0.927820 99.248000 72
0.477540 105.238000 73
0.913880 112.196000 74
0.918520 112.804000 75
0.875530 111.743000 76
0.478120 143.146000 77
0.485670 148.606000 78
0.492060 148.154000 79
0.477770 44.382000 80
0.772720 28.407000 81
1.143140 96.236000 82
0.477770 66.331000 83
0.477770 80.246000 84
0.515510 50.840000 85
0.535830 10.499000 86
0.448160 15.444000 87
1.028760 99.699000 88
0.607250 59.342000 89
0.595630 8.455000 90
0.607250 73.819000 91
0.515510 24.897000 92
0.606670 91.197000 93
0.783750 27.893000 94
0.477770 17.472000 95
1.052560 95.721000 96
1.110620 98.717000 97
0.686790 32.463000 98
0.629310 122.694000 99
0.643240 31.933000 100
0.628730 58.905000 101
0.606670 139.121000 102
0.606670 106.220000 103
0.479630 44.881000 104
0.479630 54.381000 105
0.479630 63.773000 106
0.479630 80.745000 107
0.494730 64.303000 108
0.901240 92.679000 109
0.494730 78.795000 110
0.495310 2.901000 111
0.617840 59.810000 112
0.607390 90.729000 113
0.617840 73.320000 114
0.627720 130.572000 115
0.622490 121.664000 116
0.622490 106.704000 117
0.444200 53.321000 118
0.444200 63.336000 119
0.443620 77.750000 120
0.490080 146.047000 121
0.444200 40.825000 122
0.494730 145.610000 123
0.607970 135.080000 124
0.490080 78.281000 125
0.447000 36.925000 126
0.447000 75.270000 127
0.739620 92.227000 128
0.686950 26.457000 129
0.642820 32.962000 130
0.516220 65.910000 131
0.516220 79.326000 132
0.596360 23.914000 133
0.596360 55.848000 134
0.446530 11.013000 135
0.628880 125.658000 136
0.628880 74.287000 137
0.926800 104.816000 138
0.516220 16.489000 139
0.480790 52.837000 140
0.607390 90.293000 141
0.484280 137.093000 142
0.516220 147.638000 143
1.080690 93.834000 144
0.606810 140.119000 145
0.606810 108.701000 146
0.624230 140.649000 147
0.979640 100.776000 148
0.598550 56.300000 149
0.446570 72.275000 150
0.446570 41.371000 151
0.738920 94.708000 152
0.447150 22.448000 153
0.962910 95.285000 154
0.447430 24.429000 155
0.511940 21.434000 156
0.599690 38.407000 157
0.511940 43.898000 158
0.690350 84.770000 159
0.628170 123.677000 160
0.608410 136.141000 161
0.623500 58.344000 162
0.800580 30.451000 163
0.809870 30.888000 164
0.918450 31.418000 165
0.899290 93.226000 166
0.479510 146.547000 167
0.607250 133.614000 168
0.607250 105.659000 169
0.623500 124.675000 170
0.494610 51.808000 171
0.650520 45.911000 172
0.832340 20.483000 173
0.606960 102.243000 174
0.891000 117.219000 175
0.447320 25.366000 176
0.447320 48.423000 177
0.549000 2.449000 178
0.495550 9.890000 179
0.927240 101.681000 180
0.598970 55.364000 181
0.611750 70.793000 182
0.607680 103.693000 183
0.682050 86.751000 184
0.598680 14.446000 185
0.638750 91.791000 186
0.641650 111.197000 187
0.891370 117.640000 188
0.606960 97.657000 189
0.889490 116.579000 190
0.566040 17.971000 191
0.659810 96.174000 192
0.513170 34.445000 193
0.606370 99.700000 194
0.607250 142.070000 195
0.534980 81.292000 196
0.534980 49.374000 197
0.477280 50.342000 198
0.488470 81.744000 199
0.488930 62.713000 200
0.568060 18.486000 201
0.535430 13.947000 202
0.487650 67.314000 203
